Temp	Bites	Hours
40.79	2	8.24
41.69	2	8.16
41.72	2	9.12
41.49	2	9.2
42.29	2	10.72
42.61	2	8.72
39.76	2	4.8
42.4	2	11.12
40.86	2	8.16
41.7	2	11.2
40.86	2	6.96
42.82	2	10.56
43.16	2	8.64
40.18	2	7.92
38.16	1	8.08
38.23	1	10
37.71	1	9.84
39.07	1	7.12
36.73	1	5.76
38.16	1	9.92
39.4	1	11.84
36.69	1	8.88
38.47	1	8.96
38.34	1	8.96
38.13	1	9.36
38.89	1	9.6
38.67	1	11.52
38.13	1	8.72
38.31	1	9.76
38.98	1	8.56
37.8	1	8.24
38.9	1	7.44
37.64	0	13.52
36.04	0	8.16
34.99	0	5.52
37.45	0	6.96
36.57	0	6.64
36.99	0	10.16
36.35	0	10
36.76	0	8.4
36.84	0	7.76
36.6	0	8.56
37.17	0	9.68
37.44	0	11.44
36.2	0	9.52
36.61	0	10.08
36.71	0	10
37.27	0	8.56
38.11	0	11.68
36.95	0	8.16
36.16	0	9.52
